date,close
1,0.3527570962905884
2,0.581848680973053
3,0.6324136853218079
4,0.8233121633529663
5,0.8585926294326782
6,0.938316822052002
7,0.9251188039779663
8,0.9585000276565552
9,0.9711271524429321
10,0.976075291633606
11,0.9870055913925171
12,0.9919818043708801
13,0.9959303736686707
14,0.9973788261413574
15,0.9975683093070984
16,0.997543215751648
17,0.997404158115387
18,0.9978620409965515
19,0.9985735416412354
20,0.9986838698387146
21,0.9990549683570862
22,0.9989709854125977
23,0.998991072177887
24,0.9986494183540344
25,0.9988043308258057
